"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"Q1","SOT23","34.5mm","17.1mm","34.5mm","16.95mm","33.55mm","18.15mm","B","270.00","IRLML2402"
"L1","CHIP_R_0603","17.6mm","10mm","17.6mm","10mm","18.2364mm","9.3636mm","T","135.00","BLM18PG471SN1D"
"JP1","PLS-2R","9.58mm","34.05mm","8.31mm","34.05mm","8.31mm","34.05mm","T","360.00","PLS-2R"
"R3","CHIP_R_0603","8.7mm","27.2mm","8.7mm","27.2mm","8.7mm","26.3mm","T","90.00","1K"
"R10","CHIP_R_0603","22.65mm","14.45mm","22.65mm","14.45mm","21.75mm","14.45mm","T","360.00","0R"
"R7","CHIP_R_0603","22.65mm","19.4mm","22.65mm","19.4mm","21.75mm","19.4mm","T","360.00","0R"
"R12","CHIP_R_0603","30mm","16.8mm","30.9mm","16.8mm","30mm","16.8mm","T","180.00","1K"
"U5","SOIC8","31.05mm","28.35mm","31.05mm","28.35mm","28.35mm","26.445mm","B","360.00","LM2594M-ADJ"
"R6","CHIP_R_0603","14.35mm","17.35mm","14.35mm","17.35mm","14.35mm","18.25mm","B","270.00","4K7"
"U6","SOIC8","18.81mm","29.65mm","18.81mm","29.65mm","20.715mm","26.95mm","B","90.00","SN65HVD230D"
"D2","SOD323","4.5mm","29.85mm","4.5mm","29.85mm","4.5mm","30.965mm","B","270.00","1N4148WC"
"F1","1206Lxxx","6.75mm","29.05mm","6.75mm","29.05mm","6.75mm","27.65mm","T","90.00","1206L050"
"5V","TestPoint","7.6mm","24.75mm","7.6mm","24.75mm","7.6mm","24.75mm","T","0.00","TestPoint"
"C6","CHIP_C_0603","13.55mm","5.05mm","13.55mm","5.05mm","12.65mm","5.05mm","T","360.00","22pF"
"C4","CHIP_C_0603","10.4mm","5.05mm","10.4mm","5.05mm","11.3mm","5.05mm","T","180.00","22pF"
"C8","CHIP_C_0603","16.4mm","8.85mm","16.4mm","8.85mm","15.7636mm","9.4864mm","T","315.00","0.1uF"
"C15","CHIP_C_0603","19.8711mm","7.568mm","19.8711mm","7.568mm","19.8711mm","8.468mm","T","270.00","0.22uF"
"U4","TSSOP-16P","23.5mm","7.75mm","23.5mm","7.55mm","25.775mm","10.6mm","T","270.00","A4954"
"C14","ALUM_CAP_D","30.1mm","10.9mm","30.1mm","10.9mm","30.1mm","13.7mm","T","270.00","100uF x 35V"

